name,description,lat,lon,type
Sanitización San Diego 859,Aún no realizada,-33.4567174,-70.6497819,Otro
Sanitización Franklin,Entre San Diego y Nataniel Cox,-33.4733089,-70.6487355,Otro
Sanitización Abate Molina 871,Pasaje,-33.4597511,-70.6720539,Pasaje
Sanitización Martinez de Rozas 2456,"Es un solo domicilio, solicita sanitizar por arriendo de piezas",-33.4340187,-70.671716,Domicilio
Argomedo 379,Edificio por conserje con caso positivo,-33.449956,-70.6379953,Edificio
Chacabuco 49,Cité completo,-33.4476159,-70.6780568,Otro
Lord Cochrane 1047,Solicita Sanitización por fallecimiento de persona en el domicilio,-33.4596429,-70.6534424,Domicilio
Chacabuco 1332,Pasaje,-33.4297162,-70.679829,Pasaje
Roberto Espinoza 891,Sanitización de calle,-33.4572625,-70.653005,Calle
Chañarcillo 3034,Pasaje completo,-33.4302105,-70.6783181,Pasaje
Lira 409,Domicilio,-33.4481975,-70.6394528,Domicilio
Gorbea 2528,Cité,-33.4542716,-70.6710891,Otro
Esperanza 751,Pasaje,-33.4362372,-70.6759405,Pasaje
Almirante Latorre 89,Cité,-33.4488436,-70.6652354,Otro
Esperanza 1336,Cité,-33.4297719,-70.676672,Otro
Moneda 2666,Cité,-33.4444905,-70.6725333,Otro
Blanco Encalada 2862,cité,-33.4586529,-70.6743607,Otro
Gral Bulnes 839,Cité,-33.4344205,-70.6709545,Otro
Pedro León Ugalde 1538,3 Domicilios,-33.4643197,-70.6317838,Domicilio
Gral Mackenna 1757,Cité,-33.4332799,-70.6624758,Otro
Libertad 1144,Departamentos,-33.4320105,-70.6751308,Edificio
Mapocho 2815,Departamentos,-33.4324901,-70.675255,Edificio
Mapocho 2845,Departamentos,-33.4324473,-70.6756476,Edificio
Av. España 170,Cité,-33.4512356,-70.6698389,Otro
Victoria 597,Cité,-33.4628099,-70.6403442,Otro
Pedro Lagos 1390,Edificios,-33.4664536,-70.652106,Edificio
Santa Victoria 130,Calle,-33.4468379,-70.6339289,Calle
Roberto Espinoza 1975,Domicilio,-33.4722738,-70.6513453,Domicilio
Almirante Latorre 566,Situación Compleja (cité),-33.454684,-70.6641964,Otro
Zenteno 1521,Cité,-33.466508,-70.6499422,Otro
Andes 2136,cité,-33.4328686,-70.6666378,Otro
Jose Toribio Medina 44A,Pasaje,-33.4452823,-70.6640249,Pasaje
Libertad 1431,3 edificios,-33.428449,-70.6752309,Edificio
Manuel Antonio Tocornal 383,Edificio,-33.4481633,-70.6410373,Edificio
Tracción 21,Pasaje,-33.4313203,-70.6677236,Pasaje
Santo Domingo 1450,Edificio,-33.437288,-70.6578101,Edificio
Marin 37,Edificio,-33.4453949,-70.6334749,Edificio
Bio Bio 1151,Edificio,-33.4743431,-70.6489231,Edificio
Juan Nepomuceno Espejo,Calle,-33.4737704,-70.6723217,Calle
Arrate 1060,Pasaje,-33.4332195,-70.6783393,Pasaje
Santa Rosa 349,Cité,-33.4488101,-70.6450662,Otro
Sierra Bella 1406,Domicilio,-33.4622192,-70.6355657,Domicilio
10 de Julio 462,Pasaje,-33.4525536,-70.6396151,Pasaje
Arauco 1046,Pasaje,-33.4720515,-70.6473987,Pasaje
Victoria 360,Domicilio y alrededores por caso positivos,-33.4479043,-70.637633,Domicilio
Fray Camilo Henriquez 195,Domicilio,-33.4435763,-70.6360323,Domicilio
Zenteno 1218,Cité,-33.4614888,-70.650397,Otro
Chiloé 1411,Hogar del Sename,-33.4637253,-70.6459049,Otro
Mercedes 951,Pasaje,-33.4333564,-70.6679082,Pasaje
Coquimbo 338,Pasaje,-33.4543218,-70.6353522,Pasaje
Bio Bio 1411,Condominio,-33.4745495,-70.6525656,Edificio
Bio Bio 1485,Condominio,-33.4746663,-70.653801,Edificio
Nueva Ñuble 1580,Pasaje,-33.4707566,-70.6558733,Pasaje
San Francisco 838,Pasaje,-33.455263,-70.6460505,Pasaje
San Francisco 858,Pasaje,-33.4556719,-70.6459307,Pasaje
Retamales 1046,Pasaje,-33.4721925,-70.6471506,Pasaje
Curicó 348,Edificio,-33.4448324,-70.6384052,Edificio
Jofré 351,Edificio,-33.44536,-70.6383611,Edificio
Mapocho 1478,Cité,-33.4320359,-70.6586197,Otro
Mapocho 1484,Cité,-33.4320545,-70.658751,Otro
San Martin 1075,Cité,-33.4320989,-70.6588777,Otro
San Pablo 1217,Pasaje,-33.4342298,-70.6548205,Pasaje
Rosas 2907,Domicilio,-33.4370376,-70.6760899,Domicilio
Rogelio Ugarte 1509,Domicilio,-33.4640006,-70.6331338,Domicilio
Almirante Barroso 1023,Pasaje,-33.4324417,-70.6629869,Pasaje
10 de Julio 750,Pasaje,-33.4535536,-70.6452049,Pasaje
San Francisco 1666,Pasaje,-33.4675391,-70.6436544,Pasaje
Armstrong 2390,Pasaje,-33.4305646,-70.6701266,Pasaje
San Ignacio 67,Cité,-33.446647,-70.6572394,Otro
Zenteno 928,Cité,-33.4575967,-70.65095,Otro
Pasaje Emilio,Pasaje,-33.4331391,-70.6667627,Pasaje
Pasaje Antonio,Pasaje,-33.4322742,-70.6680098,Pasaje
Francisco Bardessi 2289,Pasaje,-33.4310175,-70.6689281,Pasaje
Santo Domingo 1889,Pasaje,-33.4375061,-70.663677,Pasaje
Herrera 1175,Domicilio,-33.4317654,-70.6783211,Domicilio
San Pablo 3057,Cité,-33.4353789,-70.6776334,Otro
Esperanza 1530,cité,-33.4276488,-70.6768399,Otro
San Pablo 2666,Edificio,-33.4351848,-70.6734854,Edificio
Nataniel Cox 243,Pasaje,-33.4493747,-70.6533886,Pasaje
Pasaje Vicuña Mackenna 115,Pasaje,-33.4421844,-70.6340219,Pasaje
Cueto 72,Domicilio,-33.445206,-70.6719511,Domicilio
San Francisco 294,Condominio,-33.4482319,-70.6467685,Edificio
Santa Rosa 2070,Cité,-33.4724578,-70.6418619,Otro
Lord Cochrane 1710,Cité,-33.4690589,-70.6521718,Otro
Esperanza 1170,Cité,-33.4319009,-70.676431,Otro
José Ramon Gutierrez,Calle completa,-33.4394083,-70.6406757,Calle
Erasmo Escala,Cumming y Av. Brasil,-33.4450005,-70.6662891,Otro
